1	1	23	21	27	12	5
1	2	18	14	6	7	3
1	3	26	10	22	15	20
1	4	28	2	11	17	25
1	5	29	8	9	19	1
1	6	24	13	30	16	4
1	7	17	18	15	5	9
1	8	6	26	2	27	8
1	9	13	3	21	10	28
1	10	30	7	25	22	23
1	11	4	16	1	11	29
1	12	12	20	14	24	19
1	13	7	11	26	9	13
1	14	20	6	8	21	23
1	15	1	24	10	18	2
1	16	15	28	12	29	30
1	17	25	4	3	19	5
1	18	16	27	17	14	22
2	1	20	17	7	1	12
2	2	11	19	27	30	21
2	3	5	29	13	6	14
2	4	10	9	24	26	25
2	5	16	3	2	23	15
2	6	22	8	28	4	18
2	7	30	1	5	3	26
2	8	13	23	19	10	17
2	9	11	22	9	12	6
2	10	21	15	4	14	7
2	11	29	25	16	20	18
2	12	2	4	28	6	27
2	13	3	17	24	8	11
2	14	19	30	18	2	26
2	15	27	5	29	7	10
2	16	14	22	23	1	24
2	17	9	21	20	28	16
2	18	8	12	13	25	15
3	1	10	20	4	30	6
3	2	27	24	29	22	3
3	3	21	14	25	2	1
3	4	5	19	8	7	28
3	5	26	12	18	23	16
3	6	17	30	14	9	3
3	7	22	5	20	13	2
3	8	7	10	16	8	24
3	9	26	21	17	4	29
3	10	15	18	22	19	11
3	11	28	9	12	3	23
3	12	25	1	27	20	13
3	13	19	16	6	5	11
3	14	14	26	1	28	15
3	15	4	29	23	27	9
3	16	18	25	21	24	13
3	17	12	2	7	11	10
3	18	6	15	30	17	8
4	1	28	6	26	25	17
4	2	24	9	15	29	2
4	3	20	23	11	3	18
4	4	8	22	10	21	14
4	5	1	12	6	25	4
4	6	19	27	13	15	7
4	7	5	28	24	16	30
4	8	29	8	3	26	12
4	9	23	11	4	13	14
4	10	2	7	21	22	16
4	11	17	20	5	1	19
4	12	9	30	18	10	27
4	13	24	15	6	11	21
4	14	3	7	26	4	20
4	15	1	29	10	28	23
4	16	14	17	16	27	12
4	17	25	5	19	18	22
4	18	2	13	30	9	8
5	1	27	14	3	18	2
5	2	17	13	22	29	6
5	3	8	4	25	20	9
5	4	23	24	27	26	5
5	5	3	10	15	16	1
5	6	11	18	7	30	28
5	7	22	12	5	9	21
5	8	29	28	14	20	19
5	9	13	6	16	3	1
5	10	30	23	7	21	25
5	11	15	28	20	24	27
5	12	16	8	2	17	4
5	13	10	26	11	5	14
5	14	12	1	22	13	30
5	15	6	19	9	24	7
5	16	21	18	29	26	17
5	17	15	25	8	23	11
5	18	4	2	19	12	10
6	1	11	27	28	1	9
6	2	4	5	15	2	20
6	3	3	21	19	22	26
6	4	7	15	17	13	27
6	5	9	16	25	14	10
6	6	1	7	29	8	18
6	7	28	24	12	4	22
6	8	2	17	23	6	10
6	9	21	20	1	15	30
6	10	16	26	23	19	13
6	11	8	3	12	27	25
6	12	23	28	17	6	24
6	13	5	30	14	8	29
6	14	20	11	18	12	13
6	15	26	9	14	2	6
6	16	7	24	30	16	19
6	17	22	29	11	25	3
6	18	18	10	4	5	21
7	1	1	4	26	25	9
7	2	19	2	21	29	23
7	3	10	22	27	30	17
7	4	12	16	6	18	15
7	5	14	20	24	11	8
7	6	7	13	3	28	5
7	7	9	23	15	4	22
7	8	27	11	1	21	16
7	9	6	19	25	10	3
7	10	26	29	20	30	12
7	11	5	11	13	17	2
7	12	18	14	7	8	28
7	13	24	25	5	15	26
7	14	22	27	8	19	16
7	15	30	6	23	14	4
7	16	13	21	28	10	29
7	17	17	3	9	7	20
7	18	12	1	2	18	24
8	1	10	15	19	14	12
8	2	30	8	11	3	2
8	3	28	26	22	16	20
8	4	11	4	10	24	29
8	5	18	6	15	27	30
8	6	17	22	1	23	7
8	7	16	25	29	14	13
8	8	20	10	9	6	21
8	9	25	5	30	17	12
8	10	8	13	24	23	18
8	11	15	3	4	29	27
8	12	21	12	26	7	11
8	13	22	19	6	1	28
8	14	9	18	5	16	14
8	15	13	27	2	26	20
8	16	19	17	3	21	24
8	17	23	9	8	5	1
8	18	25	7	28	2	4
9	1	4	14	12	13	19
9	2	11	1	10	15	8
9	3	30	21	13	9	24
9	4	23	16	20	28	3
9	5	2	29	7	5	6
9	6	13	4	1	21	18
9	7	27	23	26	11	19
9	8	3	6	18	25	10
9	9	24	1	17	12	7
9	10	29	2	20	22	30
9	11	5	23	16	12	10
9	12	27	22	21	8	25
9	13	9	15	17	28	19
9	14	6	24	27	20	5
9	15	14	30	28	11	26
9	16	25	7	16	29	15
9	17	26	8	18	4	17
9	18	14	2	3	9	22
10	1	8	12	5	21	28
10	2	20	25	14	17	23
10	3	1	3	30	19	4
10	4	7	27	10	13	9
10	5	24	11	29	22	6
10	6	16	26	2	15	21
10	7	10	8	22	20	30
10	8	18	19	9	29	17
10	9	2	28	25	1	27
10	10	3	5	24	14	15
10	11	26	4	11	7	22
10	12	19	18	23	2	12
10	13	21	10	3	13	28
10	14	29	16	12	6	9
